Lane_ID,Origin,Destination,Origin_Country,Destination_Country,Origin_Lat,Origin_Lng,Dest_Lat,Dest_Lng,Segment,Carrier,Mode,Distance_KM,Transit_Time_Days,Freight_Cost_USD,Shipments_Per_Year,Avg_Weight_KG,CO2e_Tonnes,OTIF_Pct,Product_Category
LANE-0001,Shenzhen CN,Haiphong Port VN,CN,VN,22.54,114.06,20.84,106.68,Supplier→Port,Penske,road,785.0,3,35782.0,117,21466,1.4492,92.5,Electronics Modules
LANE-0002,Suzhou CN,Shanghai Port CN,CN,CN,31.3,120.58,31.23,121.47,Supplier→Port,Werner,road,85.0,2,12102.0,341,9395,0.0687,93.2,Major Appliances
LANE-0003,Hanoi VN,Haiphong Port VN,VN,VN,21.03,105.85,20.84,106.68,Supplier→Port,DB Schenker,road,89.0,2,30177.0,352,22728,0.174,93.7,Electronics Modules
LANE-0004,Pune IN,Chennai Port IN,IN,IN,18.52,73.86,13.08,80.27,Supplier→Port,DB Schenker,road,914.0,5,13644.0,485,10769,0.8465,94.3,Plastic Components
LANE-0005,Seoul KR,Busan Port KR,KR,KR,37.57,126.98,35.18,129.08,Supplier→Port,Penske,road,326.0,4,15933.0,245,12392,0.3474,92.6,Electronics Modules
LANE-0006,Monterrey MX,Manzanillo Port MX,MX,MX,25.69,-100.32,19.05,-104.31,Supplier→Port,Penske,road,844.0,4,14162.0,347,14318,1.0393,91.9,Compressor Units
LANE-0007,Krakow PL,Gdansk Port PL,PL,PL,50.06,19.94,54.35,18.65,Supplier→Port,Penske,road,485.0,2,20457.0,354,12324,0.514,91.6,Electronics Modules
LANE-0008,Gdansk Port PL,Apodaca Plant MX,PL,MX,54.35,18.65,25.78,-100.19,Port→Plant,Union Pacific,rail,9368.0,7,9371.0,282,20383,5.3465,92.0,Plastic Components
LANE-0009,Busan Port KR,Apodaca Plant MX,KR,MX,35.18,129.08,25.78,-100.19,Port→Plant,Maersk,ocean,11484.0,31,1937.0,113,24854,2.7686,97.4,Aluminum Parts
LANE-0010,Chennai Port IN,Celaya Plant MX,IN,MX,13.08,80.27,20.52,-100.81,Port→Plant,BNSF,rail,16277.0,5,8251.0,310,25919,11.8127,92.2,Compressor Units
LANE-0011,LA Port US,Celaya Plant MX,US,MX,33.74,-118.26,20.52,-100.81,Port→Plant,Maersk,ocean,2261.0,40,2085.0,482,18767,0.4116,96.9,Steel Components
LANE-0012,Manzanillo Port MX,Clyde Plant US,MX,US,19.05,-104.31,41.3,-82.97,Port→Plant,ONE,ocean,3195.0,27,1400.0,438,16300,0.5052,93.8,Electronics Modules
LANE-0013,Hamburg Port DE,Clyde Plant US,DE,US,53.55,9.99,41.3,-82.97,Port→Plant,Union Pacific,rail,6614.0,6,8631.0,418,16844,3.1194,92.7,Plastic Components
LANE-0014,Hamburg Port DE,Greenville Plant US,DE,US,53.55,9.99,40.1,-84.63,Port→Plant,ONE,ocean,6807.0,24,1740.0,394,24474,1.616,99.1,Plastic Components
LANE-0015,Shanghai Port CN,Greenville Plant US,CN,US,31.23,121.47,40.1,-84.63,Port→Plant,Union Pacific,rail,11640.0,8,6939.0,92,20948,6.8274,95.0,Steel Components
LANE-0016,Haiphong Port VN,Gdansk Plant PL,VN,PL,20.84,106.68,54.37,18.62,Port→Plant,DB Cargo,rail,8016.0,3,13190.0,216,24711,5.5463,91.7,Aluminum Parts
LANE-0017,LA Port US,Gdansk Plant PL,US,PL,33.74,-118.26,54.37,18.62,Port→Plant,Hapag-Lloyd,ocean,9383.0,28,1410.0,131,15531,1.4136,97.7,Steel Components
LANE-0018,Shenzhen CN,Apodaca Plant MX,CN,MX,22.54,114.06,25.78,-100.19,Supplier→Plant,MSC,ocean,13497.0,30,2366.0,83,22152,2.9002,92.4,Electronics Modules
LANE-0019,Shenzhen CN,Greenville Plant US,CN,US,22.54,114.06,40.1,-84.63,Supplier→Plant,MSC,ocean,12785.0,16,1448.0,278,13952,1.7303,96.2,Compressor Units
LANE-0020,Suzhou CN,Greenville Plant US,CN,US,31.3,120.58,40.1,-84.63,Supplier→Plant,Maersk,ocean,11662.0,20,915.0,449,13292,1.5036,95.5,Electronics Modules
LANE-0021,Suzhou CN,Clyde Plant US,CN,US,31.3,120.58,41.3,-82.97,Supplier→Plant,Maersk,ocean,11588.0,29,1763.0,148,15383,1.7291,93.1,Steel Components
LANE-0022,Hanoi VN,Gdansk Plant PL,VN,PL,21.03,105.85,54.37,18.62,Supplier→Plant,MSC,ocean,7946.0,40,1449.0,254,19682,1.517,91.5,Aluminum Parts
LANE-0023,Hanoi VN,Celaya Plant MX,VN,MX,21.03,105.85,20.52,-100.81,Supplier→Plant,ONE,ocean,14561.0,27,2446.0,457,24013,3.3916,94.6,Compressor Units
LANE-0024,Pune IN,Celaya Plant MX,IN,MX,18.52,73.86,20.52,-100.81,Supplier→Plant,MSC,ocean,15635.0,32,1628.0,265,25729,3.902,96.2,Electronics Modules
LANE-0025,Pune IN,Gdansk Plant PL,IN,PL,18.52,73.86,54.37,18.62,Supplier→Plant,Maersk,ocean,6119.0,21,1192.0,411,13638,0.8095,95.7,Steel Components
LANE-0026,Seoul KR,Gdansk Plant PL,KR,PL,37.57,126.98,54.37,18.62,Supplier→Plant,MSC,ocean,7728.0,40,1440.0,69,12476,0.9352,92.6,Major Appliances
